name,x,y,area,rent,rent/m2
 中信泰富又一城,121.248599,31.33240764,19.8,1830,92.42424242
 北九峰小区,121.2237844,31.02090222,15.8,1890,119.6202532
 美罗家园罗秀苑,121.4075123,31.12874747,17.5,1190,68
 明丰公寓,121.2240786,31.02976589,15.8,1860,117.721519
 渔洋苑,121.2274443,31.09007999,12.5,1830,146.4
 佘山假日半岛,121.22738,31.08697043,17,2190,128.8235294
 好日子大家园B区,121.357189,31.35130899,18.5,1890,102.1621622
 妙栏小区,121.6869306,31.18904264,13.2,1830,138.6363636
 花山锦地苑,121.5744761,31.35013782,14.4,1890,131.25
 绿地蔷薇九里(公寓),121.2262965,31.0610048,12.1,1890,156.1983471
 绿地蔷薇九里(公寓),121.2262965,31.0610048,12.6,1890,150
 顺馨佳园,121.6721857,31.19445599,28.5,79,2.771929825
 天馨花园(公寓),121.4241122,31.36488251,16,1960,122.5
 立诚苑,121.6813046,31.19683818,19.4,2030,104.6391753
 立诚苑,121.6813046,31.19683818,19,1930,101.5789474
 绿地蔷薇九里(公寓),121.2262965,31.0610048,13,1890,145.3846154
 丽景翠庭,121.4262217,31.39029574,12.5,1860,148.8
 银丰苑,121.6837178,31.26954708,16.1,1890,117.3913043
 锦桂苑,121.2290952,31.03797458,15.8,2090,132.278481
 富绅时代公馆,121.0914693,31.16385409,11,1890,171.8181818
 泗泾新苑,121.2689835,31.11626714,8.5,1890,222.3529412
 丽景翠庭,121.4262217,31.39029574,32.7,2130,65.13761468
 富绅时代公馆,121.0914693,31.16385409,11,1860,169.0909091
 日月新苑,121.4993235,31.15166125,9.8,1830,186.7346939
 佘山假日半岛,121.22738,31.08697043,17.8,2090,117.4157303
 保利叶之林(一期),121.3726606,31.32749683,20.5,2190,106.8292683
 华盛名门,121.6887743,31.19671467,17,1860,109.4117647
 星辰园(公寓),121.2246448,31.05269272,11,1930,175.4545455
 星辰园(公寓),121.2246448,31.05269272,11,1960,178.1818182
 星辰园(公寓),121.2246448,31.05269272,11,1930,175.4545455
 东方丽都,121.4292928,31.3855246,13.7,1860,135.7664234
 共富一村,121.425424,31.35353695,11.8,1990,168.6440678
 三湘四季花城,121.2242129,31.05554184,18.8,2030,107.9787234
 水语人家南苑,121.528115,31.04698653,16.2,1590,98.14814815
 星辰园(公寓),121.2246448,31.05269272,10.5,1930,183.8095238
 妙龙小区,121.683765,31.18769326,15.9,1830,115.0943396
 地杰国际城D街坊,121.5699557,31.16269423,12.7,1890,148.8188976
 凯佳公寓,121.6933114,31.17767183,19.3,1860,96.37305699
 港城新苑,121.5779497,31.35441387,17.6,1930,109.6590909
 招商海德名门,121.4153838,31.39436296,20,2030,101.5
 祥和公寓(松江),121.2589835,31.11942265,13.9,1960,141.0071942
 锦桂苑,121.2290952,31.03797458,15.9,1960,123.2704403
 顺馨佳园,121.6721857,31.19445599,16,1890,118.125
 锦泰苑,121.4122412,31.14191983,15.4,1860,120.7792208
 乾溪新村,121.4030597,31.30602856,15.3,1890,123.5294118
 地杰国际城D街坊,121.5699557,31.16269423,13.36,2190,163.9221557
 华盛名门,121.6887743,31.19671467,22.4,2190,97.76785714
 荣域飘鹰锦和花园(公寓),121.4241757,31.36873972,13.2,1930,146.2121212
 华盛名门,121.6887743,31.19671467,22.4,2190,97.76785714
 荣域飘鹰锦和花园(公寓),121.4241757,31.36873972,13.2,1930,146.2121212
 丽景翠庭,121.4262217,31.39029574,13.3,1990,149.6240602
 绿地蔷薇九里(公寓),121.2262965,31.0610048,14,1890,135
 杨泰春城,121.4307075,31.38243711,16,1830,114.375
 新金山花园,121.3810013,31.09089178,10.7,1890,176.635514
 桃园新村(川沙),121.6960141,31.19052251,13.5,1860,137.7777778
 立诚苑,121.6813046,31.19683818,15.3,1830,119.6078431
 金钻苑,121.677819,31.27752692,14.6,1930,132.1917808
 星辰园(公寓),121.2246448,31.05269272,12.5,1830,146.4
 星辰园(公寓),121.2246448,31.05269272,12.5,1830,146.4
 好日子大家园B区,121.357189,31.35130899,18,1890,105
 星辰园(公寓),121.2246448,31.05269272,12.5,1830,146.4
 华盛名门,121.6887743,31.19671467,19.1,2090,109.4240838
 祁连二村,121.374342,31.31958213,14.1,1830,129.787234
 经纬弘汇地标家园,121.3419728,31.19677689,17.3,2160,124.8554913
 祥和公寓(松江),121.2589835,31.11942265,15.7,1890,120.3821656
 天馨花园(公寓),121.4241122,31.36488251,13.7,1930,140.8759124
 天馨花园(公寓),121.4241122,31.36488251,13,1960,150.7692308
 港城新苑,121.5779497,31.35441387,11.1,1890,170.2702703
 锦秋花园(公寓),121.3857654,31.32604384,16.4,2060,125.6097561
 御桥花园,121.5339265,31.15304157,25.5,2290,89.80392157
 新川苑,121.6896437,31.19471509,11.5,1830,159.1304348
 水语人家南苑,121.528115,31.04698653,16,1690,105.625
 绿水家园,121.3833309,31.09882821,11.2,1890,168.75
 九峰小区,121.2249035,31.01742522,17.3,1790,103.4682081
 绿地清猗园(威廉公馆),121.315542,31.2991734,13.4,2160,161.1940299
 象屿名城,121.311686,31.13314382,10.3,1890,183.4951456
 共富一村,121.425424,31.35353695,11.9,1890,158.8235294
 金光小区,121.5087437,31.14721588,8.1,2190,270.3703704
 星辰园(公寓),121.2246448,31.05269272,13.4,1830,136.5671642
 共富一村,121.425424,31.35353695,11.8,1890,160.1694915
 上大聚丰园,121.3802734,31.31099555,18,1890,105
 民东公寓,121.3109416,31.29500132,11.9,1830,153.7815126
 绿地新江桥城,121.3069842,31.2383546,11.5,1960,170.4347826
 桃浦新家园,121.3432496,31.29000726,20,1990,99.5
 共富一村,121.425424,31.35353695,10,2090,209
 云润家园,121.3141837,31.13107306,16.3,2090,128.2208589
 共富一村,121.425424,31.35353695,10.8,2090,193.5185185
 马陆金沙湾,121.6955642,31.20103818,16.1,1860,115.5279503
 共富一村,121.425424,31.35353695,8.7,1890,217.2413793
 好世凤凰城,121.3867696,31.09508406,14.5,2190,151.0344828
 地杰国际城D街坊,121.5699557,31.16269423,12.6,1990,157.9365079
 上海青年城,121.3122698,31.13863705,9.3,1930,207.5268817
 天馨花园(公寓),121.4241122,31.36488251,9,1960,217.7777778
 品华苑,121.5166486,31.14230805,10.7,1890,176.635514
 协通公寓,121.1482849,31.29796114,15.6,1890,121.1538462
 绿海家园,121.7041318,31.18882644,13.7,1830,133.5766423
 培元新苑,121.6682811,31.21257561,9.1,2060,226.3736264
 美罗家园罗秀苑,121.4075123,31.12874747,10,1060,106
 华高一村,121.6084156,31.28319677,14.3,2030,141.958042
 润江花苑,121.2549364,31.11023937,20,2060,103
 祥泰苑,121.4039527,31.32479531,16.4,1830,111.5853659
 浦发绿城,121.535113,31.14577525,12.2,1890,154.9180328
 九亭苑,121.323953,31.13213301,13.2,1890,143.1818182
 新里米兰公寓,121.1949698,31.29691502,91,3990,43.84615385
 丽都城假日景苑,121.4037786,31.01488803,16.45,2090,127.0516717
 好日子大家园A区,121.3611068,31.35283339,14.6,1890,129.4520548
 浦发绿城,121.535113,31.14577525,11.9,1990,167.2268908
 路劲上海派,121.1926255,31.29493716,90,3960,44
 品珍苑,121.5189679,31.14293052,10.5,2090,199.047619
 新梅公寓,121.3835636,31.12485375,13,2230,171.5384615
 祥和公寓(松江),121.2589835,31.11942265,12,1860,155
 浦发绿城,121.535113,31.14577525,11.8,1890,160.1694915
 共富一村,121.425424,31.35353695,14.2,1890,133.0985915
 华中公寓,121.226849,31.02069756,12.9,1730,134.1085271
 民康苑,121.5630954,31.15801319,12.7,1990,156.6929134
 阳明花园广场,121.5876936,31.3375839,10.3,1890,183.4951456
 民康苑,121.5630954,31.15801319,9,2190,243.3333333
 上大阳光乾静园,121.4025814,31.31343271,15.1,2190,145.0331126
 御上海,121.2296785,31.05078588,17,1930,113.5294118
 华中公寓,121.226849,31.02069756,14,2160,154.2857143
 大黄馨园,121.4161374,31.3615079,14,1830,130.7142857
 上浦小区,121.6837229,31.1934816,13.8,1930,139.8550725
 华中公寓,121.226849,31.02069756,80,4130,51.625
 康桥水都(公寓),121.4315066,31.36246408,17.34,2030,117.0703576
 芙蓉新村,121.1559833,31.29503088,9.9,1190,120.2020202
 浦江东旭公寓,121.581743,31.2962782,11.6,2060,177.5862069
 界龙新世纪公寓,121.6913157,31.1971277,15.2,2060,135.5263158
 界龙新世纪公寓,121.6913157,31.1971277,15.2,2060,135.5263158
 清河湾佳苑(二期),121.0979605,31.16883972,9.4,1160,123.4042553
 三林苑,121.5186018,31.14601968,12,2090,174.1666667
 和祥佳园,121.5660189,31.35402586,15.12,2030,134.2592593
 桃浦二村永汇新苑,121.3473552,31.27967898,12.3,2290,186.1788618
 共富一村,121.425424,31.35353695,10.1,1990,197.029703
 新润花苑,121.6853061,31.20040834,21.6,1930,89.35185185
 东力新村,121.6230759,31.28923048,14.6,2190,150
 联星丽景苑,121.3423345,31.2823724,10.1,1890,187.1287129
 闵浦新苑五村,121.5316485,31.06522582,14.7,1690,114.9659864
 沁春园三村,121.3710991,31.09853953,13.4,1890,141.0447761
 金港花园(公寓),121.2602028,31.11360686,16.5,1960,118.7878788
 德华路226弄,121.3103787,31.29768305,48,2390,49.79166667
 东方城市绿洲,121.6762935,31.18860969,14.5,1990,137.2413793
 金港花园(公寓),121.2602028,31.11360686,14.9,1890,126.8456376
 御桥馨华苑,121.5665271,31.15590626,14,1990,142.1428571
 新川苑,121.6896437,31.19471509,16,2330,145.625
 美罗家园罗秀苑,121.4075123,31.12874747,10,1030,103
 妙城公寓,121.6927249,31.19371426,15.1,2060,136.4238411
 桃浦二村永汇新苑,121.3473552,31.27967898,12.79,2090,163.4089132
 紫荆四村,121.160392,31.29413725,13.9,1560,112.2302158
 沁春园二村,121.373105,31.09653074,13.2,2060,156.0606061
 桃浦二村永汇新苑,121.3473552,31.27967898,14,2130,152.1428571
 奥林匹克花园,121.3224765,31.14966699,12.4,1830,147.5806452
 水岸秀苑,121.3042921,31.24157887,14.8,1890,127.7027027
 浦发绿城,121.535113,31.14577525,14,1930,137.8571429
 舒馨北苑,121.6631044,31.19353426,16,1830,114.375
 润和苑,121.2637383,31.11360785,14,1860,132.8571429
 众众德尚世嘉,121.396987,31.07544111,13,1890,145.3846154
 美丽星城,121.3230052,31.13529199,18,1990,110.5555556
 新城悠活城,121.2236494,31.3802236,12.2,1590,130.3278689
 高行绿洲(一期),121.5916819,31.32712744,10.1,1890,187.1287129
 东街名庭,121.5815106,31.34976997,13,1990,153.0769231
 御上海,121.2296785,31.05078588,11.5,1830,159.1304348
 沁春园二村,121.373105,31.09653074,13.3,1890,142.1052632
 杉林新月环林东路799弄,121.528552,31.14610451,11.5,1990,173.0434783
 北九峰小区,121.2237844,31.02090222,14,1690,120.7142857
 康桥水都(公寓),121.4315066,31.36246408,11.5,1990,173.0434783
 象屿鼎城(公寓),121.6807648,31.18813797,18.7,1960,104.8128342
 博一小区,121.5788528,31.26886832,7.1,1830,257.7464789
 御景豪园,121.6790948,31.19400039,20,2130,106.5
 三林苑,121.5186018,31.14601968,13.1,2190,167.1755725
 天馨花园(公寓),121.4241122,31.36488251,13.5,1930,142.962963
 荣乐小区,121.2194651,31.01794237,56,3560,63.57142857
 三湘四季花城,121.2242129,31.05554184,16.3,2090,128.2208589
 美罗家园美安苑,121.3413788,31.390305,13.5,1090,80.74074074
 车站新村(普陀),121.39752,31.26233762,15.19,2560,168.5319289
 美丽星城,121.3230052,31.13529199,12.2,2090,171.3114754
 尼德兰花园(二期),121.5783792,31.33761443,14.3,1960,137.0629371
 绿地新江桥城,121.3069842,31.2383546,7.5,1830,244
 经纬阳光水岸家园(一期),121.399347,31.32955836,10.4,1890,181.7307692
 品珍苑,121.5189679,31.14293052,10,1960,196
 莘光苑,121.3853825,31.12705875,14.2,2390,168.3098592
 联星丽景苑,121.3423345,31.2823724,12.3,2390,194.3089431
 金港花园(公寓),121.2602028,31.11360686,14,2190,156.4285714
 荣乐小区,121.2194651,31.01794237,13.6,1690,124.2647059
 荣乐小区,121.2194651,31.01794237,13.6,1690,124.2647059
 大黄馨园,121.4161374,31.3615079,14.5,1960,135.1724138
 金钻苑,121.677819,31.27752692,16.1,1890,117.3913043
 经纬城市绿洲,121.3988469,31.33070802,10.9,1890,173.3944954
 三林安居苑,121.5219016,31.14719549,8.1,1990,245.6790123
 立诚苑,121.6813046,31.19683818,15.1,2390,158.2781457
 上大阳光乾泽园,121.3974885,31.31134093,17.6,2360,134.0909091
 银丰苑,121.6837178,31.26954708,15.5,2190,141.2903226
 新城金郡,121.235739,31.34716781,15.8,1560,98.73417722
 鹤沙航城汇诚佳苑,121.598111,31.07429849,7.6,1090,143.4210526
 安居锦竹苑,121.3431544,31.29214338,12,1830,152.5
 天馨花园(公寓),121.4241122,31.36488251,12.5,1990,159.2
 桃浦二村永汇新苑,121.3473552,31.27967898,11.5,1890,164.3478261
 浦江东旭公寓,121.581743,31.2962782,11.66,2190,187.8216123
 经纬观澜弘郡家园(三期),121.3419728,31.19677689,14.3,1830,127.972028
 经纬学府涵青花园(二期),121.3929125,31.3327128,12.6,1990,157.9365079
 联星丽景苑,121.3423345,31.2823724,14.2,2390,168.3098592
 金港花园(公寓),121.2602028,31.11360686,12,1890,157.5
 品珍苑,121.5189679,31.14293052,12.5,1990,159.2
 经纬城市绿洲,121.3988469,31.33070802,12.1,1830,151.2396694
 新逸仙公寓,121.4926737,31.34929897,12.3,2390,194.3089431
 品珍苑,121.5189679,31.14293052,10.8,1890,175
 路劲上海派,121.1926255,31.29493716,86,3960,46.04651163
 路劲上海派,121.1926255,31.29493716,86,3890,45.23255814
 高行绿洲(一期),121.5916819,31.32712744,13.04,2090,160.2760736
 经纬学府涵青花园(二期),121.3929125,31.3327128,14.2,2090,147.1830986
 国和二村,121.5247285,31.32179072,17.1,2590,151.4619883
 美罗家园罗秀苑,121.4075123,31.12874747,16,1590,99.375
 御桥馨华苑,121.5665271,31.15590626,11.2,2260,201.7857143
 经纬学府涵青花园(二期),121.3929125,31.3327128,14.2,2090,147.1830986
 国和二村,121.5247285,31.32179072,17.1,2590,151.4619883
 美罗家园罗秀苑,121.4075123,31.12874747,16,1590,99.375
 巨峰家苑(公寓),121.5992464,31.28063882,13,2090,160.7692308
 御桥馨华苑,121.5665271,31.15590626,11.2,2260,201.7857143
 华高苑,121.6019746,31.28692411,14.3,2030,141.958042
 潼港八村,121.5673822,31.35127371,13.9,1930,138.8489209
 南杨花园,121.5503603,31.19419898,9,1830,203.3333333
 联星丽景苑,121.3423345,31.2823724,10.1,1890,187.1287129
 经纬学府涵青花园(二期),121.3929125,31.3327128,16.6,2190,131.9277108
 东方城市绿洲,121.6762935,31.18860969,14.9,1930,129.5302013
 未来域,121.5319839,31.15194954,11.1,1930,173.8738739
 东方城市绿洲,121.6762935,31.18860969,12.1,1830,151.2396694
 龙湖北城天街,121.3561039,31.36260668,17.6,2490,141.4772727
 好日子大家园B区,121.357189,31.35130899,16.5,1690,102.4242424
 江虹花园,121.2228833,31.02470286,18.4,2130,115.7608696
 华高新苑,121.6047071,31.2855322,20.4,2490,122.0588235
 高行绿洲(五期),121.5916819,31.32712744,11.1,1990,179.2792793
 上大阳光乾静园,121.4025814,31.31343271,19.2,2090,108.8541667
 鹤沙航城东茗苑,121.5958968,31.07707264,9.2,1190,129.3478261
 海上新村,121.3642811,31.15830832,12.2,2260,185.2459016
 罗智路258弄,121.3406115,31.38759956,12,1190,99.16666667
 绿海家园,121.7041318,31.18882644,19.5,2290,117.4358974
 川沙公寓,121.6852478,31.19157959,15.9,2290,144.0251572
 绿地公园广场,121.3781873,31.35190868,64,3890,60.78125
 金纬新苑,121.5791252,31.33886651,15.5,1890,121.9354839
 罗南二村,121.3624143,31.38795049,10.1,990,98.01980198
 美丽星城,121.3230052,31.13529199,11,1890,171.8181818
 高行绿洲(三期),121.5916819,31.32712744,11.6,1890,162.9310345
 锦秋花园(公寓),121.3857654,31.32604384,10.5,1890,180
 锦龙苑,121.3740916,31.31442133,18.8,1890,100.5319149
 新逸仙公寓,121.4926737,31.34929897,14,2190,156.4285714
 海上新村,121.3642811,31.15830832,13.36,2590,193.8622754
 天馨花园(公寓),121.4241122,31.36488251,15.7,2190,139.4904459
 绿地清猗园(威廉公馆),121.315542,31.2991734,16.3,2190,134.3558282
 好世凤凰城,121.3867696,31.09508406,14.4,1890,131.25
 妙城公寓,121.6927249,31.19371426,12.3,1930,156.9105691
 美罗家园罗秀苑,121.4075123,31.12874747,17,1690,99.41176471
 康桥花园,121.558304,31.1516728,12.6,1960,155.5555556
 金地自在城(二期),121.2465896,31.12741789,10.5,1860,177.1428571
 东方悦居,121.5013415,31.16723692,12.3,1830,148.7804878
 共富二村,121.4284572,31.34874829,11.6,1930,166.3793103
 东沟六村,121.5732646,31.29101603,9.39,1860,198.0830671
 万业紫辰苑,121.433717,31.4013386,13.3,1990,149.6240602
 祥和公寓(松江),121.2589835,31.11942265,14.3,2060,144.0559441
 保利西子湾,121.2302719,31.06333885,14.4,2060,143.0555556
 美罗家园罗秀苑,121.4075123,31.12874747,16,1490,93.125
 罗秀新苑,121.4056612,31.12881291,11.75,2230,189.787234
 美兰湖岭域,121.353287,31.39242362,13.2,1530,115.9090909
 同方锦城,121.5814008,31.26503094,9.5,2090,220
 东源名都,121.6108774,31.2866345,11.7,2090,178.6324786
 锦绣逸庭(公寓),121.256661,31.17218492,12.7,1860,146.4566929
 招商海德名门,121.4153838,31.39436296,16.8,1990,118.452381
 高乐小区,121.2292977,31.02118303,15.8,1790,113.2911392
 泗泾新苑,121.2689835,31.11626714,8,2160,270
 汇善嘉苑,121.6047757,31.08123588,11.3,1690,149.5575221
 学林苑,121.3796507,31.31556228,14.6,2190,150
 凌兆新村(上浦路165弄),121.4861874,31.14776196,12.8,1960,153.125
 锦绣逸庭(公寓),121.256661,31.17218492,12.9,1830,141.8604651
